pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
80  <pt<120 	6<chiso range<13 	17.2209	22.2052	4.88687	1.01994
80  <pt<120 	7<chiso range<12 	17.2209	22.6511	4.84012	1.12191
80  <pt<120 	7<chiso range<13 	17.2209	22.4014	4.84899	1.06837
80  <pt<120 	8<chiso range<13 	17.2209	22.3418	4.84424	1.05711
#######################################################################################
120  <pt<400 	3<chiso range<8 	10.6704	13.6759	3.46996	0.866148
120  <pt<400 	3<chiso range<9 	10.6704	13.5985	3.4881	0.839454
120  <pt<400 	3<chiso range<10 	10.6704	13.4368	3.53542	0.782481
120  <pt<400 	3<chiso range<11 	10.6704	13.4432	3.53222	0.785002
120  <pt<400 	3<chiso range<12 	10.6704	13.4772	3.51411	0.798723
120  <pt<400 	3<chiso range<13 	10.6704	13.4572	3.51482	0.792871
120  <pt<400 	4<chiso range<9 	10.6704	13.4925	3.51444	0.803001
120  <pt<400 	4<chiso range<10 	10.6704	13.2914	3.57611	0.732919
120  <pt<400 	4<chiso range<11 	10.6704	13.3095	3.56673	0.739921
120  <pt<400 	4<chiso range<12 	10.6704	13.3997	3.54569	0.769751
120  <pt<400 	4<chiso range<13 	10.6704	13.3884	3.54044	0.767701
120  <pt<400 	5<chiso range<10 	10.6704	13.5556	3.50396	0.823411
120  <pt<400 	5<chiso range<11 	10.6704	13.5427	3.50123	0.820369
120  <pt<400 	5<chiso range<12 	10.6704	13.5915	3.4864	0.837856
120  <pt<400 	5<chiso range<13 	10.6704	13.5548	3.49626	0.824996
120  <pt<400 	6<chiso range<11 	10.6704	13.3688	3.54697	0.760762
120  <pt<400 	6<chiso range<12 	10.6704	13.4772	3.5224	0.796843
120  <pt<400 	6<chiso range<13 	10.6704	13.4307	3.51637	0.784986
120  <pt<400 	7<chiso range<12 	10.6704	13.55	3.50145	0.822402
120  <pt<400 	7<chiso range<13 	10.6704	13.5029	3.50611	0.807875
120  <pt<400 	8<chiso range<13 	10.6704	13.1847	3.58469	0.7014
#######################################################################################
